,coef,std_err,t,p
const,-0.000974766840527348,0.0010480142143020912,-0.9301084157302951,0.35231495387333767
Treated,0.0016501646136348296,0.0025123726062720713,0.6568152389160897,0.5112997244204374
EnergyExp_x_dBrent,-0.052704433171966145,0.09989087957152072,-0.5276200730040662,0.5977630580839427
RiskExp_x_dVIX,0.6540974785398727,0.6242434593883431,1.047824320307307,0.2947195552165165
FXExp_x_dINR,-4.040197995312974,2.566063827076295,-1.5744729155534172,0.11537815830331685
