Group,Metric,Mean,Low_CI,High_CI,N
Treated,CAR_5d,-0.035179874232985166,-0.0605306280547756,-0.006581200787114808,17
Treated,CAR_10d,-0.00787694655259344,-0.049690076035341764,0.04480097966857493,17
Defensive,CAR_5d,0.01018438651020672,-0.0076818137575783724,0.02761947167306395,30
Defensive,CAR_10d,0.02020358258538121,-0.004816670977367571,0.04497281621725798,30
