term,coef,std_err,pval
Intercept,0.0006866038547967565,0.0007847487865414021,0.38160949904470187
C(tic)[T.COALINDIA.NS],0.003520882751007355,1.651388048034315e-17,0.0
C(tic)[T.IOC.NS],0.0012548115820005257,1.6180611947571582e-17,0.0
C(tic)[T.MRPL.NS],0.0012454197362014082,0.0004576673622166383,0.006503881241806726
C(tic)[T.NTPC.NS],0.0021183803789118043,0.000995696424840068,0.03337554093605142
C(tic)[T.ONGC.NS],-0.0003467634050950087,1.9828761429170392e-17,0.0
C(tic)[T.PETRONET.NS],-0.0011758468684270316,0.0004576673622166376,0.010192854280500603
C(tic)[T.POWERGRID.NS],0.00047734240854102735,0.000995696424840058,0.6316501342562502
C(tic)[T.RELIANCE.NS],-0.0017215652257623762,2.8139209739322325e-17,0.0
C(dt)[T.Timestamp('2021-03-30 00:00:00')],-0.00031665651563103094,0.0037498399223946394,0.9327023580998761
C(dt)[T.Timestamp('2021-03-31 00:00:00')],-0.0031846585062211726,0.003015256812244616,0.2908852945779876
C(dt)[T.Timestamp('2021-04-12 00:00:00')],-0.021200380616315483,0.007155151113866196,0.0030470251519715656
C(dt)[T.Timestamp('2021-04-13 00:00:00')],0.00411800747102612,0.004428493090146264,0.35242850516041
C(dt)[T.Timestamp('2021-04-14 00:00:00')],-0.004315750823474943,0.0010545368635642724,4.266447658437738e-05
C(dt)[T.Timestamp('2021-04-15 00:00:00')],-0.003390702086439699,0.004591420492840112,0.4602188629598871
C(dt)[T.Timestamp('2021-04-16 00:00:00')],0.002217925546666261,0.0046022431423376475,0.6298608434924471
C(dt)[T.Timestamp('2021-04-19 00:00:00')],-0.019711378155308157,0.005787465459748311,0.0006595260921995583
C(dt)[T.Timestamp('2021-04-20 00:00:00')],0.006196312603760954,0.004446339281242238,0.16344561938137758
C(dt)[T.Timestamp('2021-04-21 00:00:00')],-0.004315750823474956,0.001054536863564275,4.2664476584376825e-05
C(dt)[T.Timestamp('2021-04-22 00:00:00')],-0.0030146928113527214,0.0065496912517816405,0.6453151538557576
C(dt)[T.Timestamp('2021-04-23 00:00:00')],0.01399690889759911,0.0055067617894284555,0.01102934698449903
C(dt)[T.Timestamp('2021-04-26 00:00:00')],-0.00416802167118086,0.004414344420393879,0.34506772497142946
C(dt)[T.Timestamp('2021-04-27 00:00:00')],-0.008365861734245965,0.003853799881619926,0.02994564734789248
C(dt)[T.Timestamp('2021-04-28 00:00:00')],-0.011866341473855173,0.003529317838675136,0.0007731861866091225
C(dt)[T.Timestamp('2021-04-29 00:00:00')],0.006138890331337141,0.014172129110310615,0.6648938774384665
C(dt)[T.Timestamp('2021-04-30 00:00:00')],0.023384075790137904,0.006856823841120867,0.0006488280205683087
C(dt)[T.Timestamp('2021-05-03 00:00:00')],-0.006553556611851202,0.0036635435390549994,0.07363779970241251
C(dt)[T.Timestamp('2021-05-04 00:00:00')],0.0033834190961524622,0.004278539537758881,0.42906752644985446
C(dt)[T.Timestamp('2021-05-05 00:00:00')],-0.004874257122778675,0.002557669853548882,0.05668377552681708
C(dt)[T.Timestamp('2021-05-06 00:00:00')],-0.007031268735334312,0.004178715832067096,0.09244506626830916
C(dt)[T.Timestamp('2021-05-07 00:00:00')],-0.0009846704253155883,0.003992707059172086,0.8052044551336541
C(dt)[T.Timestamp('2021-05-10 00:00:00')],0.010011785362545959,0.0093438956569508,0.28395423378571283
C(dt)[T.Timestamp('2021-05-11 00:00:00')],0.035506784451167867,0.007094477584132414,5.590602522518185e-07
C(dt)[T.Timestamp('2021-05-12 00:00:00')],0.0006981067551893684,0.006153259771587907,0.9096712974576264
C(dt)[T.Timestamp('2021-05-13 00:00:00')],-0.004315750823474936,0.0010545368635642705,4.266447658437712e-05
TreatedFlag,-0.0019091189326560835,0.001628596473342743,0.24109750858150536
HighExposure,6.957286777437604e-05,0.0009153347244332766,0.9394126413659944
TreatedFlag:HighExposure,6.957286777437555e-05,0.0009153347244332781,0.939412641365995
Post,0.0015438323911805085,0.001753545439181353,0.37863926361956
TreatedFlag:Post,0.0030726616749271922,0.0028999716804550416,0.28934989176368375
HighExposure:Post,0.0008596585415399012,0.0012871894562342984,0.5042248515042421
TreatedFlag:HighExposure:Post,0.0008596585415399044,0.0012871894562343003,0.5042248515042413
