group,mean_delta,median_delta,n,tstat_TminusD,pval_TminusD
Treated,0.0026180328690254403,-0.00048404117849987563,7.0,,
Defensive,-0.005410308300863201,-0.005410308300863201,2.0,,
Diff(T-D),0.008028341169888641,,,2.3260052350583034,0.05661273645176362
