group,mean_delta,median_delta,n,tstat_TminusD,pval_TminusD
Treated,0.011217971741505278,0.010182450444939591,7.0,,
Defensive,0.008599033147659793,0.008599033147659793,2.0,,
Diff(T-D),0.0026189385938454844,,,1.5173491714805467,0.1812712206116681
