date,ticker,ar,car
2021-03-16,ADANIPORTS.NS,-0.0034162599461447923,-0.0034162599461447923
2021-03-17,ADANIPORTS.NS,-0.0293083087120612,-0.03272456865820599
2021-03-18,ADANIPORTS.NS,-0.0023043644175069367,-0.03502893307571293
2021-03-19,ADANIPORTS.NS,-0.0073911662083740864,-0.042420099284087014
2021-03-22,ADANIPORTS.NS,0.04872402013177172,0.006303920847684705
2021-03-23,ADANIPORTS.NS,0.014221524521416597,0.0205254453691013
2021-03-24,ADANIPORTS.NS,-0.02569264975644587,-0.005167204387344568
2021-03-25,ADANIPORTS.NS,-0.011376461557380152,-0.01654366594472472
2021-03-26,ADANIPORTS.NS,0.004281631271266458,-0.012262034673458263
2021-03-29,ADANIPORTS.NS,-0.002510789228059701,-0.014772823901517964
2021-03-30,ADANIPORTS.NS,-0.018247829624816855,-0.03302065352633482
2021-03-31,ADANIPORTS.NS,-0.002079163446940745,-0.03509981697327556
2021-04-01,ADANIPORTS.NS,0.03087362620636702,-0.004226190766908545
2021-04-02,ADANIPORTS.NS,-0.002510789228059701,-0.0067369799949682455
2021-04-05,ADANIPORTS.NS,0.023417391668920623,0.01668041167395238
2021-04-06,ADANIPORTS.NS,0.11232496805494463,0.129005379728897
2021-04-07,ADANIPORTS.NS,-0.0382382590783099,0.0907671206505871
2021-04-08,ADANIPORTS.NS,0.0033426710927660867,0.0941097917433532
2021-04-09,ADANIPORTS.NS,0.0012194950891279577,0.09532928683248115
2021-04-12,ADANIPORTS.NS,-0.0621129183448366,0.03321636848764455
2021-04-13,ADANIPORTS.NS,-0.036356624655044995,-0.0031402561674004417
2021-04-14,ADANIPORTS.NS,-0.002510789228059701,-0.0056510453954601424
2021-04-15,ADANIPORTS.NS,0.017513791163489827,0.011862745768029684
2021-04-16,ADANIPORTS.NS,0.001475413788278479,0.013338159556308163
2021-04-19,ADANIPORTS.NS,-0.0289051643667053,-0.015567004810397135
2021-04-20,ADANIPORTS.NS,0.0018326591449661874,-0.013734345665430948
2021-04-21,ADANIPORTS.NS,-0.002510789228059701,-0.01624513489349065
2021-04-22,ADANIPORTS.NS,0.012532058917653743,-0.0037130759758369075
2021-04-23,ADANIPORTS.NS,-0.014368708529953618,-0.018081784505790524
2021-04-26,ADANIPORTS.NS,-0.006502458483883693,-0.024584242989674217
2021-04-27,ADANIPORTS.NS,0.009153179357458362,-0.015431063632215854
2021-04-28,ADANIPORTS.NS,-0.022793717676665364,-0.03822478130888122
2021-04-29,ADANIPORTS.NS,-0.004175699480178131,-0.04240048078905935
