sector,mean_delta,median_delta,count
Basic Materials,0.004373064857544879,0.00433331418423364,11
Financial Services,0.0038016199111441024,0.004621563352105725,8
Energy,0.0026180328690254403,-0.00048404117849987563,7
Communication Services,0.0022522149459566956,0.0022522149459566956,1
Consumer Cyclical,0.002047537158431441,0.0030889433865180036,7
Consumer Defensive,-0.0004656509949448664,-0.000804421033851188,6
Healthcare,-0.002545186055521851,-0.0017425044763386237,4
Technology,-0.003851625130637891,-0.00631942179447784,5
Utilities,-0.005410308300863201,-0.005410308300863201,2
Industrials,-0.007704487831239095,-0.0013856969978657246,6
