ticker,sector,exposure_group,pre_mean_sigma,post_mean_sigma,delta_sigma,Group,TreatedFlag,HighExposure
ADANIPORTS.NS,Industrials,none,0.028124812867646325,0.02730217950606631,-0.0008226333615800156,Other,0,0
ASIANPAINT.NS,Basic Materials,none,0.011363808453623064,0.016362636457145408,0.004998828003522344,Other,0,0
AXISBANK.NS,Financial Services,none,0.005861113428584782,0.012090968605537683,0.006229855176952901,Other,0,0
BAJAJ-AUTO.NS,Consumer Cyclical,none,0.016858127326884485,0.01274282459333869,-0.004115302733545795,Other,0,0
BAJAJFINSV.NS,Financial Services,none,0.008721288274100335,0.017865991709640365,0.00914470343554003,Other,0,0
BAJFINANCE.NS,Financial Services,none,0.009686880138608158,0.020796032404743273,0.011109152266135115,Other,0,0
BHARTIARTL.NS,Communication Services,none,0.009515455757350943,0.011767670703307639,0.0022522149459566956,Other,0,0
BPCL.NS,Energy,none,0.01858151397040942,0.011529377491086895,-0.007052136479322525,Treated,1,0
BRITANNIA.NS,Consumer Defensive,none,0.01313757997189115,0.011872124343964195,-0.0012654556279269556,Other,0,0
CHAMBLFERT.NS,Basic Materials,agri,0.026864971404526383,0.024723019494319685,-0.002141951910206698,Other,0,1
CIPLA.NS,Healthcare,none,0.01631590925192978,0.014735667540430148,-0.0015802417114996314,Other,0,0
COALINDIA.NS,Energy,none,0.008427104666598732,0.018500742751147107,0.010073638084548375,Treated,1,0
CONCOR.NS,Industrials,shipping,0.01511458717979905,0.02293557485486851,0.00782098767506946,Other,0,1
COROMANDEL.NS,Basic Materials,agri,0.015085263252669368,0.0152769358890661,0.00019167263639673256,Other,0,1
DIVISLAB.NS,Healthcare,none,0.01553152802578906,0.013626760784611443,-0.001904767241177616,Other,0,0
DRREDDY.NS,Healthcare,none,0.020191323431124973,0.014739993190492537,-0.005451330240632437,Other,0,0
EICHERMOT.NS,Consumer Cyclical,none,0.010583998353376686,0.01367294173989469,0.0030889433865180036,Other,0,0
GESHIP.NS,Industrials,shipping,0.029310771973733128,0.027362011339581695,-0.0019487606341514335,Other,0,1
GODREJAGRO.NS,Consumer Defensive,agri,0.0052311686566377195,0.011908468155022656,0.006677299498384937,Other,0,1
GPPL.NS,Industrials,shipping,0.027498700364387056,0.02124323486663768,-0.006255465497749375,Other,0,1
GRASIM.NS,Basic Materials,none,0.00990669248804941,0.01424000667228305,0.00433331418423364,Other,0,0
HCLTECH.NS,Technology,none,0.01874890883774174,0.010682303116206309,-0.00806660572153543,Other,0,0
HDFCBANK.NS,Financial Services,none,0.011196566406296586,0.009567593459250418,-0.0016289729470461683,Other,0,0
HEROMOTOCO.NS,Consumer Cyclical,none,0.0060691245244813615,0.01120703058967171,0.005137906065190349,Other,0,0
HINDALCO.NS,Basic Materials,none,0.015545704323987625,0.01895416192195351,0.0034084575979658853,Other,0,0
HINDUNILVR.NS,Consumer Defensive,none,0.0175985311634041,0.011218169946791342,-0.006380361216612758,Other,0,0
ICICIBANK.NS,Financial Services,none,0.011459453627962132,0.010637363979414838,-0.0008220896485472938,Other,0,0
INDUSINDBK.NS,Financial Services,none,0.020490460594661114,0.01638575489006603,-0.004104705704595084,Other,0,0
INFY.NS,Technology,none,0.017454344084087116,0.010448779143508963,-0.007005564940578152,Other,0,0
IOC.NS,Energy,none,0.006777794876847225,0.015241035370343199,0.008463240493495974,Treated,1,0
ITC.NS,Consumer Defensive,none,0.010892140423155278,0.010548753983379858,-0.0003433864397754203,Other,0,0
JSWSTEEL.NS,Basic Materials,none,0.009763840661032818,0.023516671047657055,0.013752830386624237,Other,0,0
KOTAKBANK.NS,Financial Services,none,0.002171540445888658,0.00964328562934343,0.0074717451834547715,Other,0,0
LT.NS,Industrials,none,0.012903469891970654,0.012665952483638209,-0.00023751740833244557,Other,0,0
M&M.NS,Consumer Cyclical,none,0.01281340159162534,0.016887098531135545,0.004073696939510206,Other,0,0
MARUTI.NS,Consumer Cyclical,none,0.012252117672808635,0.010588742758669794,-0.0016633749141388415,Other,0,0
MRPL.NS,Energy,oil,0.016392010518843293,0.0294825487379712,0.013090538219127906,Treated,1,1
NESTLEIND.NS,Consumer Defensive,none,0.010552039786408427,0.010558164885144336,6.1250987359092596e-06,Other,0,0
NTPC.NS,Utilities,none,0.02097159344858527,0.013819442128216312,-0.007152151320368958,Defensive,0,0
ONGC.NS,Energy,none,0.01636023541058568,0.015876194232085805,-0.00048404117849987563,Treated,1,0
PETRONET.NS,Energy,oil,0.01685819732365725,0.016195496817471264,-0.0006627005061859842,Treated,1,1
PIIND.NS,Basic Materials,agri,0.024351257008830868,0.022270958476201187,-0.002080298532629681,Other,0,1
POWERGRID.NS,Utilities,none,0.019695226182978358,0.016026760901620914,-0.0036684652813574435,Defensive,0,0
RELIANCE.NS,Energy,none,0.015956224968923037,0.010853916418937248,-0.005102308549985789,Treated,1,0
SBIN.NS,Financial Services,none,0.010367197029241132,0.013380468556499681,0.003013271527258549,Other,0,0
SCI.NS,Industrials,shipping,0.06924515870156381,0.024461620940873043,-0.044783537760690766,Other,0,1
SHREECEM.NS,Basic Materials,none,0.005046387291539969,0.01540401857848724,0.01035763128694727,Other,0,0
SUNPHARMA.NS,Healthcare,none,0.015591448372614839,0.014347043343837119,-0.0012444050287777203,Other,0,0
TATACONSUM.NS,Consumer Defensive,none,0.01563400836562505,0.014145881083150139,-0.0014881272824749103,Other,0,0
TATAMOTORS.NS,Consumer Cyclical,none,0.019702683829544494,0.01896663028709861,-0.0007360535424458838,Other,0,0
TATASTEEL.NS,Basic Materials,none,0.013486993029655498,0.02177980283201095,0.008292809802355453,Other,0,0
TCS.NS,Technology,none,0.016183527663123955,0.009864105868646115,-0.00631942179447784,Other,0,0
TECHM.NS,Technology,none,0.016208480946918187,0.011880606737496066,-0.004327874209422121,Other,0,0
TITAN.NS,Consumer Cyclical,none,0.007541370426944985,0.016088315334877035,0.00854694490793205,Other,0,0
ULTRACEMCO.NS,Basic Materials,none,0.004096995093662935,0.012087557849039372,0.007990562755376438,Other,0,0
UPL.NS,Basic Materials,none,0.022712490270351483,0.021712347492759538,-0.0010001427775919447,Other,0,0
WIPRO.NS,Technology,none,0.01063698722861201,0.0170983282414361,0.00646134101282409,Other,0,0
