Date,^NSEI,BZ=F,INR=X,^INDIAVIX,^VIX,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,CONCOR.NS,GESHIP.NS,SCI.NS,GPPL.NS,PETRONET.NS,MRPL.NS,COROMANDEL.NS,CHAMBLFERT.NS,PIIND.NS,GODREJAGRO.NS
2020-07-01,10430.0498046875,42.029998779296875,75.75,28.1200008392334,28.6200008392334,333.7326354980469,1614.3306884765625,431.4485778808594,2485.31884765625,289.3532409667969,615.5501098632812,535.4559936523438,134.9488525390625,3203.05029296875,604.0223999023438,83.6568374633789,2174.095703125,753.23095703125,1754.444091796875,593.158203125,451.3809509277344,513.6533203125,2124.16796875,141.67013549804688,1990.15380859375,352.1046142578125,475.5610046386719,647.2172241210938,39.575870513916016,157.99725341796875,179.3323211669922,1351.10546875,853.0014038085938,473.96343994140625,5512.326171875,792.1204833984375,74.59085845947266,60.703651428222656,72.53097534179688,784.68896484375,170.5180206298828,22266.875,443.7479553222656,369.9056396484375,98.96807098388672,27.162546157836914,1863.774169921875,442.1200256347656,930.0979614257812,3781.369140625,419.6941833496094,103.56969451904297,387.0981750488281,176.04766845703125,53.251102447509766,57.56991195678711,201.21328735351562,36.33032989501953,702.7398681640625,133.3553466796875,1510.5826416015625,398.4111022949219
2020-07-02,10551.7001953125,43.13999938964844,75.45490264892578,26.510000228881836,27.68000030517578,336.644775390625,1612.848388671875,421.4403381347656,2517.93701171875,290.3670349121094,617.4907836914062,533.8309326171875,136.13807678222656,3193.249267578125,622.4195556640625,83.5005874633789,2130.83203125,754.9834594726562,1749.8345947265625,596.634033203125,465.65667724609375,515.9266357421875,2227.522216796875,141.86216735839844,1973.0526123046875,350.9440002441406,477.8303527832031,669.059326171875,40.82344436645508,160.2943878173828,182.1424102783203,1346.375244140625,868.6900024414062,503.1734924316406,5650.39306640625,791.6724853515625,74.43147277832031,61.760005950927734,73.220947265625,798.19775390625,171.11781311035156,22364.482421875,448.3451843261719,375.966552734375,99.7539291381836,28.102371215820312,1921.7706298828125,454.2279052734375,967.5687255859375,3797.22705078125,415.46856689453125,106.00467681884766,395.95562744140625,178.0196075439453,57.325469970703125,59.37247085571289,204.3016357421875,36.82261276245117,702.9266967773438,130.82493591308594,1538.156005859375,399.1904296875
2020-07-03,10607.349609375,43.13999938964844,74.72100067138672,25.770000457763672,27.68000030517578,349.8465576171875,1621.6468505859375,426.66851806640625,2564.327880859375,287.1590270996094,613.5596313476562,555.8170166015625,136.81253051757812,3196.18505859375,615.2918090820312,84.53182983398438,2124.81787109375,755.1566162109375,1809.88916015625,606.4822387695312,473.796630859375,508.6095886230469,2283.2646484375,140.5659637451172,1993.1795654296875,349.15472412109375,470.49102783203125,674.4536743164062,40.5924072265625,161.61817932128906,178.86395263671875,1348.1678466796875,871.4125366210938,503.9334411621094,5634.8623046875,787.2518920898438,75.30807495117188,62.17501449584961,74.26634979248047,810.6897583007812,170.42575073242188,22472.36328125,451.9944763183594,381.402099609375,101.62032318115234,27.68280792236328,1959.6334228515625,459.37078857421875,984.3423461914062,3772.6396484375,417.11187744140625,106.28836822509766,402.9852294921875,178.5650634765625,56.99383544921875,58.39607238769531,213.25401306152344,36.23187255859375,699.9838256835938,130.15907287597656,1552.287353515625,397.5859680175781
2020-07-06,10763.650390625,43.099998474121094,74.6792984008789,25.200000762939453,27.940000534057617,348.92437744140625,1634.270751953125,432.1954650878906,2533.459228515625,304.5266418457031,627.0892333984375,551.180908203125,138.51649475097656,3273.959228515625,611.2464599609375,84.90685272216797,2096.346923828125,749.485595703125,1835.3878173828125,619.0338134765625,473.4284973144531,522.367431640625,2310.53125,148.19915771484375,1982.0845947265625,349.97686767578125,478.89263916015625,675.6032104492188,40.638614654541016,163.58316040039062,183.4077606201172,1362.2091064453125,877.8264770507812,541.977783203125,5816.7666015625,792.2689208984375,75.86589050292969,63.19366455078125,74.43363189697266,839.6639404296875,173.51686096191406,22706.68359375,455.1698913574219,390.30096435546875,107.0721664428711,28.43802261352539,2016.2490234375,470.99267578125,994.8379516601562,3812.69775390625,428.75567626953125,105.27182006835938,404.43798828125,182.50888061523438,56.85170364379883,59.37247085571289,214.62228393554688,36.08418655395508,700.3575439453125,136.37400817871094,1612.948974609375,445.215576171875
2020-07-07,10799.650390625,43.08000183105469,74.60759735107422,25.100000381469727,29.43000030517578,335.8197021484375,1669.5601806640625,445.4898986816406,2489.778564453125,328.34478759765625,657.4808959960938,542.1473388671875,134.8423614501953,3322.73681640625,613.1246337890625,83.03182983398438,2119.046142578125,736.29443359375,1900.1905517578125,602.1373901367188,484.3499755859375,523.3855590820312,2292.478759765625,146.23086547851562,1975.253173828125,363.7108459472656,508.25006103515625,702.2646484375,39.80690383911133,159.0391845703125,180.6625518798828,1362.5574951171875,870.8126220703125,531.9561157226562,5914.74853515625,797.4747314453125,73.75409698486328,61.83546447753906,72.3846206665039,826.8092041015625,174.0243377685547,22424.65625,454.2694091796875,397.0352783203125,107.12127685546875,27.716367721557617,2022.2178955078125,475.2850646972656,996.8489379882812,3745.869384765625,423.4502258300781,106.33564758300781,403.03204345703125,179.48806762695312,56.47269058227539,63.578495025634766,204.26255798339844,35.93650436401367,704.6550903320312,137.17308044433594,1640.22705078125,427.0622253417969
2020-07-08,10705.75,43.290000915527344,75.125,26.100000381469727,28.079999923706055,330.6263732910156,1612.6571044921875,442.30322265625,2494.41357421875,314.2488098144531,639.1021728515625,536.5552978515625,134.23887634277344,3328.65380859375,611.0537719726562,83.03182983398438,2098.67529296875,748.4649047851562,1848.8072509765625,587.510009765625,470.3196716308594,525.8482055664062,2267.38037109375,148.8232421875,2004.504150390625,356.8438415527344,533.6480712890625,685.0651245117188,40.17655944824219,160.71759033203125,184.92233276367188,1347.1220703125,868.6439208984375,523.6442260742188,5741.53564453125,792.2713623046875,72.51889038085938,61.345008850097656,70.9837417602539,815.2693481445312,177.06932067871094,22047.083984375,457.35003662109375,415.9875183105469,103.4867172241211,28.043628692626953,1976.782470703125,472.5315246582031,972.2281494140625,3672.784912109375,416.9241027832031,105.48458099365234,408.2808837890625,177.3063201904297,55.61991882324219,61.06239318847656,206.5299530029297,36.724151611328125,696.7606811523438,136.6847686767578,1637.4202880859375,423.94500732421875
2020-07-09,10813.4501953125,42.349998474121094,74.93990325927734,24.90999984741211,29.260000228881836,333.1016540527344,1642.3040771484375,451.8633117675781,2520.254150390625,326.194580078125,655.4453735351562,543.5813598632812,133.74192810058594,3318.3564453125,615.5325927734375,81.50054931640625,2111.14013671875,750.371337890625,1857.5355224609375,595.3788452148438,481.24127197265625,532.7625732421875,2244.24072265625,158.23272705078125,1995.151123046875,358.1979064941406,537.4625854492188,691.2551879882812,39.9686279296875,160.02162170410156,186.9102325439453,1362.4581298828125,872.0585327148438,532.2411499023438,5701.5927734375,790.2460327148438,72.67825317382812,60.51499938964844,71.73646545410156,827.1719360351562,183.71287536621094,22404.51953125,456.82867431640625,416.9014892578125,105.05841064453125,28.90793228149414,1963.820556640625,467.5506591796875,972.6693725585938,3727.877197265625,415.5625,104.77537536621094,401.2511901855469,177.09658813476562,57.135963439941406,62.301658630371094,207.19454956054688,36.37955856323242,707.0372924804688,135.44178771972656,1700.199462890625,425.4119567871094
2020-07-10,10768.0498046875,43.2400016784668,75.33999633789062,24.940000534057617,27.290000915527344,325.14178466796875,1629.154052734375,437.77215576171875,2531.3603515625,324.64202880859375,646.924560546875,549.3645629882812,133.5998992919922,3366.276123046875,615.3881225585938,82.00055694580078,2137.0888671875,752.0755615234375,1854.1605224609375,590.358154296875,476.3326721191406,523.36181640625,2235.736083984375,157.17657470703125,2039.119140625,348.5260314941406,520.7559204101562,691.3878784179688,39.80690383911133,159.12106323242188,182.9817657470703,1343.736083984375,860.2459716796875,527.0640258789062,5657.232421875,793.7354125976562,72.04072570800781,59.27000045776367,72.17552947998047,851.5665893554688,180.48338317871094,21905.216796875,468.1557922363281,413.77484130859375,105.69691467285156,28.421236038208008,1979.8563232421875,460.82861328125,943.4874267578125,3684.279052734375,409.88140869140625,105.01177215576172,403.17266845703125,175.54415893554688,55.95155334472656,62.038787841796875,204.53622436523438,35.88727569580078,699.7501831054688,137.30628967285156,1731.3673095703125,415.5101623535156
2020-07-13,10802.7001953125,42.720001220703125,75.15850067138672,25.25,32.189998626708984,322.4723205566406,1631.2103271484375,438.2202453613281,2535.994873046875,316.8495788574219,644.6946411132812,560.93115234375,134.8778839111328,3429.642578125,614.8583984375,81.56307220458984,2168.178466796875,755.7774047851562,1873.9102783203125,590.64794921875,492.9808044433594,511.5931701660156,2242.781494140625,162.50540161132812,2077.126708984375,341.9975280761719,521.1422119140625,704.8292236328125,40.38448715209961,161.74098205566406,187.8095245361328,1329.99365234375,856.5543823242188,528.013916015625,5688.76904296875,799.5706787109375,71.64228057861328,59.534088134765625,70.71195220947266,877.3894653320312,177.80747985839844,21920.73828125,473.65350341796875,408.33929443359375,106.08985137939453,28.706541061401367,1977.763427734375,485.97576904296875,947.9014892578125,3673.99755859375,412.41680908203125,107.61223602294922,398.7675476074219,179.9915313720703,58.36774826049805,62.15145492553711,207.4682159423828,35.296539306640625,701.3851928710938,137.17308044433594,1669.8193359375,413.9056396484375
2020-07-14,10607.349609375,42.900001525878906,75.44999694824219,26.639999389648438,29.520000457763672,311.01788330078125,1614.7132568359375,415.96319580078125,2535.557861328125,312.5737609863281,622.9434204101562,563.3687744140625,132.6769256591797,3374.044677734375,609.0310668945312,80.15680694580078,2151.687744140625,771.97998046875,1797.17578125,576.1170654296875,483.7772216796875,501.45843505859375,2177.86767578125,157.27256774902344,2049.15966796875,334.211669921875,493.2816467285156,692.6259155273438,39.922420501708984,160.39007568359375,183.6917266845703,1292.8985595703125,842.4808349609375,517.8972778320312,5482.54638671875,796.69189453125,69.84922790527344,58.36454391479492,68.30750274658203,869.2277221679688,171.67141723632812,21699.232421875,466.4496154785156,403.432861328125,103.2902603149414,28.249217987060547,1934.956298828125,484.5583801269531,955.2092895507812,3657.5087890625,410.8204650878906,106.38292694091797,396.7523193359375,182.92845153808594,56.37794494628906,61.099945068359375,207.97640991210938,34.31197738647461,717.78125,134.37637329101562,1702.3165283203125,404.37054443359375
